,Province_State,Confirmed,Date,Day,New_Cases,image_url,color,Type,confirmed_regular_notation
0,New York,173.0,2020-03-10,0,0.0,,before,actual,173.0
1,New York,220.0,2020-03-11,1,47.0,,before,actual,220.0
2,New York,328.0,2020-03-12,2,108.0,,before,actual,328.0
3,New York,421.0,2020-03-13,3,93.0,,before,actual,421.0
4,New York,525.0,2020-03-14,4,104.0,,before,actual,525.0
5,New York,732.0,2020-03-15,5,207.0,,before,actual,732.0
6,New York,967.0,2020-03-16,6,235.0,,before,actual,967.0
7,New York,1706.0,2020-03-17,7,739.0,,before,actual,1706.0
8,New York,2495.0,2020-03-18,8,789.0,,before,actual,2495.0
9,New York,5365.0,2020-03-19,9,2870.0,,before,actual,5365.0
10,New York,8310.0,2020-03-20,10,2945.0,,before,actual,8310.0
11,New York,11710.0,2020-03-21,11,3400.0,,before,actual,11710.0
12,New York,15800.0,2020-03-22,12,4090.0,https://raw.githubusercontent.com/Murtz5253/covid19-vis/master/images/x-shelter.png,before,actual,15800.0
13,New York,20884.0,2020-03-23,13,5084.0,,after,actual,20884.0
14,New York,25681.0,2020-03-24,14,4797.0,,after,actual,25681.0
15,New York,30841.0,2020-03-25,15,5160.0,,after,actual,30841.0
16,New York,37877.0,2020-03-26,16,7036.0,,after,actual,37877.0
17,New York,44876.0,2020-03-27,17,6999.0,,after,actual,44876.0
18,New York,52410.0,2020-03-28,18,7534.0,,after,actual,52410.0
19,New York,59648.0,2020-03-29,19,7238.0,,after,actual,59648.0
20,New York,66663.0,2020-03-30,20,7015.0,,after,actual,66663.0
21,New York,75833.0,2020-03-31,21,9170.0,,after,actual,75833.0
22,New York,83948.0,2020-04-01,22,8115.0,,after,actual,83948.0
23,New York,92506.0,2020-04-02,23,8558.0,,after,actual,92506.0
24,New York,102987.0,2020-04-03,24,10481.0,,after,actual,102987.0
25,New York,113833.0,2020-04-04,25,10846.0,,after,actual,113833.0
26,New York,123160.0,2020-04-05,26,9327.0,,after,actual,123160.0
27,New York,131815.0,2020-04-06,27,8655.0,,after,actual,131815.0
28,New York,139875.0,2020-04-07,28,8060.0,,after,actual,139875.0
29,New York,151061.0,2020-04-08,29,11186.0,,after,actual,151061.0
30,New York,161779.0,2020-04-09,30,10718.0,,after,actual,161779.0
31,New York,172348.0,2020-04-10,31,10569.0,,after,actual,172348.0
32,New York,181026.0,2020-04-11,32,8678.0,,after,actual,181026.0
33,New York,189033.0,2020-04-12,33,8007.0,,after,actual,189033.0
34,New York,195749.0,2020-04-13,34,6716.0,,after,actual,195749.0
35,New York,203020.0,2020-04-14,35,7271.0,,after,actual,203020.0
36,New York,214454.0,2020-04-15,36,11434.0,,after,actual,214454.0
37,New York,223691.0,2020-04-16,37,9237.0,,after,actual,223691.0
38,New York,230597.0,2020-04-17,38,6906.0,,after,actual,230597.0
39,New York,241712.0,2020-04-18,39,11115.0,,after,actual,241712.0
40,New York,247815.0,2020-04-19,40,6103.0,,after,actual,247815.0
41,New York,253060.0,2020-04-20,41,5245.0,,after,actual,253060.0
42,New York,258361.0,2020-04-21,42,5301.0,,after,actual,258361.0
43,New York,263292.0,2020-04-22,43,4931.0,,after,actual,263292.0
44,New York,263460.0,2020-04-23,44,168.0,,after,actual,263460.0
45,New York,271590.0,2020-04-24,45,8130.0,,after,actual,271590.0
46,New York,282143.0,2020-04-25,46,10553.0,,after,actual,282143.0
47,New York,288045.0,2020-04-26,47,5902.0,,after,actual,288045.0
48,New York,291996.0,2020-04-27,48,3951.0,,after,actual,291996.0
49,New York,295106.0,2020-04-28,49,3110.0,,after,actual,295106.0
50,New York,299691.0,2020-04-29,50,4585.0,,after,actual,299691.0
51,New York,304372.0,2020-04-30,51,4681.0,,after,actual,304372.0
52,New York,308314.0,2020-05-01,52,3942.0,,after,actual,308314.0
53,New York,312977.0,2020-05-02,53,4663.0,,after,actual,312977.0
54,New York,316415.0,2020-05-03,54,3438.0,,after,actual,316415.0
55,New York,318953.0,2020-05-04,55,2538.0,,after,actual,318953.0
56,New York,321192.0,2020-05-05,56,2239.0,,after,actual,321192.0
57,New York,323978.0,2020-05-06,57,2786.0,,after,actual,323978.0
58,New York,327469.0,2020-05-07,58,3491.0,,after,actual,327469.0
59,New York,330407.0,2020-05-08,59,2938.0,,after,actual,330407.0
60,New York,333122.0,2020-05-09,60,2715.0,,after,actual,333122.0
61,New York,335395.0,2020-05-10,61,2273.0,,after,actual,335395.0
62,New York,337055.0,2020-05-11,62,1660.0,,after,actual,337055.0
63,New York,338485.0,2020-05-12,63,1430.0,,after,actual,338485.0
64,New York,340661.0,2020-05-13,64,2176.0,,after,actual,340661.0
