,Province_State,Confirmed,Date,Day,New_Cases,image_url,color,Type,confirmed_regular_notation
0,Florida,15.0,2020-03-10,0,0.0,,before,actual,15.0
1,Florida,28.0,2020-03-11,1,13.0,,before,actual,28.0
2,Florida,35.0,2020-03-12,2,7.0,,before,actual,35.0
3,Florida,50.0,2020-03-13,3,15.0,,before,actual,50.0
4,Florida,76.0,2020-03-14,4,26.0,,before,actual,76.0
5,Florida,115.0,2020-03-15,5,39.0,,before,actual,115.0
6,Florida,155.0,2020-03-16,6,40.0,,before,actual,155.0
7,Florida,216.0,2020-03-17,7,61.0,,before,actual,216.0
8,Florida,314.0,2020-03-18,8,98.0,,before,actual,314.0
9,Florida,417.0,2020-03-19,9,103.0,,before,actual,417.0
10,Florida,563.0,2020-03-20,10,146.0,,before,actual,563.0
11,Florida,659.0,2020-03-21,11,96.0,,before,actual,659.0
12,Florida,1004.0,2020-03-22,12,345.0,,before,actual,1004.0
13,Florida,1227.0,2020-03-23,13,223.0,,before,actual,1227.0
14,Florida,1412.0,2020-03-24,14,185.0,,before,actual,1412.0
15,Florida,1682.0,2020-03-25,15,270.0,,before,actual,1682.0
16,Florida,2357.0,2020-03-26,16,675.0,,before,actual,2357.0
17,Florida,2900.0,2020-03-27,17,543.0,,before,actual,2900.0
18,Florida,3763.0,2020-03-28,18,863.0,,before,actual,3763.0
19,Florida,4246.0,2020-03-29,19,483.0,,before,actual,4246.0
20,Florida,5473.0,2020-03-30,20,1227.0,,before,actual,5473.0
21,Florida,6741.0,2020-03-31,21,1268.0,,before,actual,6741.0
22,Florida,6956.0,2020-04-01,22,215.0,https://raw.githubusercontent.com/Murtz5253/covid19-vis/master/images/x-shelter.png,before,actual,6956.0
23,Florida,9008.0,2020-04-02,23,2052.0,,after,actual,9008.0
24,Florida,10268.0,2020-04-03,24,1260.0,,after,actual,10268.0
25,Florida,11537.0,2020-04-04,25,1269.0,,after,actual,11537.0
26,Florida,12350.0,2020-04-05,26,813.0,,after,actual,12350.0
27,Florida,13324.0,2020-04-06,27,974.0,,after,actual,13324.0
28,Florida,14545.0,2020-04-07,28,1221.0,,after,actual,14545.0
29,Florida,15456.0,2020-04-08,29,911.0,,after,actual,15456.0
30,Florida,16364.0,2020-04-09,30,908.0,,after,actual,16364.0
31,Florida,17531.0,2020-04-10,31,1167.0,,after,actual,17531.0
32,Florida,18494.0,2020-04-11,32,963.0,,after,actual,18494.0
33,Florida,19895.0,2020-04-12,33,1401.0,,after,actual,19895.0
34,Florida,21019.0,2020-04-13,34,1124.0,,after,actual,21019.0
35,Florida,21628.0,2020-04-14,35,609.0,,after,actual,21628.0
36,Florida,22511.0,2020-04-15,36,883.0,,after,actual,22511.0
37,Florida,23343.0,2020-04-16,37,832.0,,after,actual,23343.0
38,Florida,24759.0,2020-04-17,38,1416.0,,after,actual,24759.0
39,Florida,25492.0,2020-04-18,39,733.0,,after,actual,25492.0
40,Florida,26314.0,2020-04-19,40,822.0,,after,actual,26314.0
41,Florida,27059.0,2020-04-20,41,745.0,,after,actual,27059.0
42,Florida,27869.0,2020-04-21,42,810.0,,after,actual,27869.0
43,Florida,28309.0,2020-04-22,43,440.0,,after,actual,28309.0
44,Florida,29648.0,2020-04-23,44,1339.0,,after,actual,29648.0
45,Florida,30533.0,2020-04-24,45,885.0,,after,actual,30533.0
46,Florida,30839.0,2020-04-25,46,306.0,,after,actual,30839.0
47,Florida,31532.0,2020-04-26,47,693.0,,after,actual,31532.0
48,Florida,32138.0,2020-04-27,48,606.0,,after,actual,32138.0
49,Florida,32848.0,2020-04-28,49,710.0,,after,actual,32848.0
50,Florida,33193.0,2020-04-29,50,345.0,,after,actual,33193.0
51,Florida,33690.0,2020-04-30,51,497.0,,after,actual,33690.0
52,Florida,34728.0,2020-05-01,52,1038.0,,after,actual,34728.0
53,Florida,35463.0,2020-05-02,53,735.0,,after,actual,35463.0
54,Florida,36078.0,2020-05-03,54,615.0,,after,actual,36078.0
55,Florida,36897.0,2020-05-04,55,819.0,,after,actual,36897.0
56,Florida,37439.0,2020-05-05,56,542.0,,after,actual,37439.0
57,Florida,38002.0,2020-05-06,57,563.0,,after,actual,38002.0
58,Florida,38828.0,2020-05-07,58,826.0,,after,actual,38828.0
59,Florida,39199.0,2020-05-08,59,371.0,,after,actual,39199.0
60,Florida,40001.0,2020-05-09,60,802.0,,after,actual,40001.0
61,Florida,40596.0,2020-05-10,61,595.0,,after,actual,40596.0
62,Florida,40982.0,2020-05-11,62,386.0,,after,actual,40982.0
63,Florida,41923.0,2020-05-12,63,941.0,,after,actual,41923.0
64,Florida,42402.0,2020-05-13,64,479.0,,after,actual,42402.0
65,Florida,43210.0,2020-05-14,65,808.0,,after,actual,43210.0
66,Florida,44138.0,2020-05-15,66,928.0,,after,actual,44138.0
67,Florida,44811.0,2020-05-16,67,673.0,,after,actual,44811.0
68,Florida,45588.0,2020-05-17,68,777.0,,after,actual,45588.0
69,Florida,46442.0,2020-05-18,69,854.0,,after,actual,46442.0
70,Florida,46944.0,2020-05-19,70,502.0,,after,actual,46944.0
71,Florida,47471.0,2020-05-20,71,527.0,,after,actual,47471.0
72,Florida,48675.0,2020-05-21,72,1204.0,,after,actual,48675.0
73,Florida,49451.0,2020-05-22,73,776.0,,after,actual,49451.0
74,Florida,50127.0,2020-05-23,74,676.0,,after,actual,50127.0
75,Florida,50867.0,2020-05-24,75,740.0,,after,actual,50867.0
76,Florida,51746.0,2020-05-25,76,879.0,,after,actual,51746.0
77,Florida,52255.0,2020-05-26,77,509.0,,after,actual,52255.0
78,Florida,52634.0,2020-05-27,78,379.0,,after,actual,52634.0
79,Florida,53285.0,2020-05-28,79,651.0,,after,actual,53285.0
80,Florida,54497.0,2020-05-29,80,1212.0,,after,actual,54497.0
81,Florida,55424.0,2020-05-30,81,927.0,,after,actual,55424.0
82,Florida,15.0,2020-03-10,0,0.0,,before,less_steep_1,15.0
83,Florida,28.0,2020-03-11,1,13.0,,before,less_steep_1,28.0
84,Florida,35.0,2020-03-12,2,7.0,,before,less_steep_1,35.0
85,Florida,50.0,2020-03-13,3,15.0,,before,less_steep_1,50.0
86,Florida,76.0,2020-03-14,4,26.0,,before,less_steep_1,76.0
