,Province_State,Confirmed,Date,Day,New_Cases,image_url,color,Type,confirmed_regular_notation
0,Texas,13.0,2020-03-10,0,0.0,,before,actual,13.0
1,Texas,21.0,2020-03-11,1,8.0,,before,actual,21.0
2,Texas,27.0,2020-03-12,2,6.0,,before,actual,27.0
3,Texas,43.0,2020-03-13,3,16.0,,before,actual,43.0
4,Texas,57.0,2020-03-14,4,14.0,,before,actual,57.0
5,Texas,72.0,2020-03-15,5,15.0,,before,actual,72.0
6,Texas,85.0,2020-03-16,6,13.0,,before,actual,85.0
7,Texas,110.0,2020-03-17,7,25.0,,before,actual,110.0
8,Texas,173.0,2020-03-18,8,63.0,,before,actual,173.0
9,Texas,260.0,2020-03-19,9,87.0,,before,actual,260.0
10,Texas,394.0,2020-03-20,10,134.0,,before,actual,394.0
11,Texas,581.0,2020-03-21,11,187.0,,before,actual,581.0
12,Texas,643.0,2020-03-22,12,62.0,,before,actual,643.0
13,Texas,758.0,2020-03-23,13,115.0,,before,actual,758.0
14,Texas,955.0,2020-03-24,14,197.0,,before,actual,955.0
15,Texas,1229.0,2020-03-25,15,274.0,,before,actual,1229.0
16,Texas,1563.0,2020-03-26,16,334.0,,before,actual,1563.0
17,Texas,1937.0,2020-03-27,17,374.0,,before,actual,1937.0
18,Texas,2455.0,2020-03-28,18,518.0,,before,actual,2455.0
19,Texas,2792.0,2020-03-29,19,337.0,,before,actual,2792.0
20,Texas,3147.0,2020-03-30,20,355.0,https://raw.githubusercontent.com/Murtz5253/covid19-vis/master/images/x-shelter.png,before,actual,3147.0
21,Texas,3809.0,2020-03-31,21,662.0,,after,actual,3809.0
22,Texas,4355.0,2020-04-01,22,546.0,,after,actual,4355.0
23,Texas,5069.0,2020-04-02,23,714.0,,after,actual,5069.0
24,Texas,5734.0,2020-04-03,24,665.0,,after,actual,5734.0
25,Texas,6567.0,2020-04-04,25,833.0,,after,actual,6567.0
26,Texas,7209.0,2020-04-05,26,642.0,,after,actual,7209.0
27,Texas,8043.0,2020-04-06,27,834.0,,after,actual,8043.0
28,Texas,8925.0,2020-04-07,28,882.0,,after,actual,8925.0
29,Texas,9777.0,2020-04-08,29,852.0,,after,actual,9777.0
30,Texas,11208.0,2020-04-09,30,1431.0,,after,actual,11208.0
31,Texas,12105.0,2020-04-10,31,897.0,,after,actual,12105.0
32,Texas,13023.0,2020-04-11,32,918.0,,after,actual,13023.0
33,Texas,13677.0,2020-04-12,33,654.0,,after,actual,13677.0
34,Texas,14275.0,2020-04-13,34,598.0,,after,actual,14275.0
35,Texas,15006.0,2020-04-14,35,731.0,,after,actual,15006.0
36,Texas,15907.0,2020-04-15,36,901.0,,after,actual,15907.0
37,Texas,16876.0,2020-04-16,37,969.0,,after,actual,16876.0
38,Texas,17849.0,2020-04-17,38,973.0,,after,actual,17849.0
39,Texas,18704.0,2020-04-18,39,855.0,,after,actual,18704.0
40,Texas,19260.0,2020-04-19,40,556.0,,after,actual,19260.0
